ticker,company,country,mandate,scorecard,score,verdict,confidence,risk_gates,warnings_count,performance_start,performance_end,local_return,usd_return,benchmark_local_return,benchmark_usd_return,local_excess_return,usd_excess_return,benchmark,snapshot_path
MSFT,Microsoft,US,Technology Communications and Digital Infrastructure,general,66.9991,Watch,78.0,,11,2026-03-20,2026-09-18,0.29829790095366837,0.29829790095366837,0.1758277936711381,0.1758277936711381,0.12247010728253027,0.12247010728253027,^GSPC,snapshots\MSFT_2026-03-20.json
JPM,JPMorgan Chase,US,Financial Services,bank,62.9991,Insufficient Data,72.0,,7,2026-03-20,2026-09-18,0.2320030631299601,0.2320030631299601,0.1758277936711381,0.1758277936711381,0.05617526945882201,0.05617526945882201,^GSPC,snapshots\JPM_2026-03-20.json
PGR,Progressive,US,Financial Services,insurer,65.6723,Insufficient Data,65.0,,15,2026-03-20,2026-09-18,0.03730736527988543,0.03730736527988543,0.1758277936711381,0.1758277936711381,-0.13852042839125267,-0.13852042839125267,^GSPC,snapshots\PGR_2026-03-20.json
LLY,Eli Lilly,US,Healthcare and Life Sciences,general,64.1019,Watch,100.0,,7,2026-03-20,2026-09-18,0.2755813588364888,0.2755813588364888,0.1758277936711381,0.1758277936711381,0.09975356516535072,0.09975356516535072,^GSPC,snapshots\LLY_2026-03-20.json
CAT,Caterpillar,US,Industrials Infrastructure and Mobility,general,58.2605,Reject,100.0,,4,2026-03-20,2026-09-18,0.1926238225818817,0.1926238225818817,0.1758277936711381,0.1758277936711381,0.01679602891074361,0.01679602891074361,^GSPC,snapshots\CAT_2026-03-20.json
XOM,Exxon Mobil,US,Energy Utilities Materials and Climate Transition,general,53.6208,Reject,100.0,,9,2026-03-20,2026-09-18,0.03786652489851572,0.03786652489851572,0.1758277936711381,0.1758277936711381,-0.13796126877262238,-0.13796126877262238,^GSPC,snapshots\XOM_2026-03-20.json
6758.T,Sony Group,JP,Consumer Media and Education,general,65.7748,Watch,78.0,,11,2026-03-23,2026-09-18,0.16273724511753862,0.18586103524717257,0.2621242928685359,0.2872246303595347,-0.09938704775099727,-0.10136359511236215,^N225,snapshots\6758.T_2026-03-20.json
7203.T,Toyota Motor,JP,Industrials Infrastructure and Mobility,general,48.5097,Reject,78.0,,10,2026-03-23,2026-09-18,-0.055662299277555394,-0.03688190250717471,0.2621242928685359,0.2872246303595347,-0.3177865921460913,-0.32410653286670943,^N225,snapshots\7203.T_2026-03-20.json
8306.T,Mitsubishi UFJ Financial Group,JP,Financial Services,bank,49.1015,Insufficient Data,52.0,,11,2026-03-23,2026-09-18,0.4386046751702455,0.4672147439779959,0.2621242928685359,0.2872246303595347,0.1764803823017096,0.17999011361846118,^N225,snapshots\8306.T_2026-03-20.json
AZN.L,AstraZeneca,GB,Healthcare and Life Sciences,general,55.1309,Reject,100.0,,3,2026-03-20,2026-09-18,-0.10040113675561357,-0.1049375139896831,0.07469020086863987,0.06927089637628447,-0.17509133762425344,-0.17420841036596757,^FTSE,snapshots\AZN.L_2026-03-20.json
ULVR.L,Unilever,GB,Consumer Media and Education,general,41.3403,Reject,100.0,,4,2026-03-20,2026-09-18,0.005728860030393523,0.0006573045953026657,0.07469020086863987,0.06927089637628447,-0.06896134083824634,-0.06861359178098181,^FTSE,snapshots\ULVR.L_2026-03-20.json
SHEL.L,Shell,GB,Energy Utilities Materials and Climate Transition,general,40.3006,Reject,100.0,,6,2026-03-20,2026-09-18,0.03075876590625537,0.025560992998215903,0.07469020086863987,0.06927089637628447,-0.0439314349623845,-0.04370990337806857,^FTSE,snapshots\SHEL.L_2026-03-20.json
TCS.NS,Tata Consultancy Services,IN,Technology Communications and Digital Infrastructure,general,69.8083,Watch,78.0,,11,2026-03-20,2026-09-18,-0.10263540899962365,-0.1280850277378549,0.010032680379199244,-0.01861225043999959,-0.11266808937882289,-0.10947277729785532,^NSEI,snapshots\TCS.NS_2026-03-20.json
RELIANCE.NS,Reliance Industries,IN,Energy Utilities Materials and Climate Transition,general,57.1222,Reject,78.0,,6,2026-03-20,2026-09-18,-0.12890951259203787,-0.15361398724299202,0.010032680379199244,-0.01861225043999959,-0.1389421929712371,-0.13500173680299243,^NSEI,snapshots\RELIANCE.NS_2026-03-20.json
HDFCBANK.NS,HDFC Bank,IN,Financial Services,bank,49.9782,Insufficient Data,52.0,,11,2026-03-20,2026-09-18,-0.0478694150480895,-0.07487221928067267,0.010032680379199244,-0.01861225043999959,-0.05790209542728875,-0.05625996884067308,^NSEI,snapshots\HDFCBANK.NS_2026-03-20.json
2330.TW,Taiwan Semiconductor Manufacturing,TW,Technology Communications and Digital Infrastructure,general,80.9763,Buy Candidate,100.0,,10,2026-03-20,2026-09-18,0.34446937301100644,0.3424009585909895,0.40653828771153644,0.40437438265351866,-0.06206891470053,-0.06197342406252915,^TWII,snapshots\2330.TW_2026-03-20.json
2317.TW,Hon Hai Precision Industry,TW,Industrials Infrastructure and Mobility,general,59.7918,Reject,100.0,,8,2026-03-20,2026-09-18,0.2707379672951995,0.26878298580705295,0.40653828771153644,0.40437438265351866,-0.13580032041633694,-0.1355913968464657,^TWII,snapshots\2317.TW_2026-03-20.json
2881.TW,Fubon Financial,TW,Financial Services,insurer,66.1559,Insufficient Data,65.0,,14,2026-03-20,2026-09-18,0.7562843119989586,0.7535823361343448,0.40653828771153644,0.40437438265351866,0.3497460242874222,0.3492079534808261,^TWII,snapshots\2881.TW_2026-03-20.json
